,Bray Curtis,Jaccard,Unweighted Unifrac,Generalized Unifrac,Weighted Unifrac
Source Material,0.0869101236030978,0.0114966729031598,0.014980587639594,0.167534183598854,0.164150396682416
Specimen Storage Time,0.0172504606862348,0.0121765201518664,0.0198147532418663,0.0309013114136736,0.0311398646328006
Subject,0.793314645174699,0.762647965174899,0.703699571001369,0.625313387617398,0.626365430529517
Residual,0.102524770535968,0.213678841770075,0.261505088117171,0.176251117370075,0.178344308155266
