Source_Material,Outcome,Specimen_Storage_Time_Comparison,ICC_adjusted,ICC_adjusted_CI_lower,ICC_adjusted_CI_upper
Buccal Cells,RA_Rothia,1 Month,0.864574812750786,0.724878580256317,0.938665760908774
Buccal Cells,RA_Rothia,12 Months,0.865140765325753,0.664812255579143,0.938536381922095
Buccal Cells,RA_Rothia,5 Years,0.799001141214742,0.515374074973225,0.926150957462583
Buccal Cells,RA_Veillonella,1 Month,0.884614802341304,0.738628406812165,0.95882251826782
Buccal Cells,RA_Veillonella,12 Months,0.853296444833371,0.579559925198556,0.938536659160364
Buccal Cells,RA_Veillonella,5 Years,0.69595591552145,0.32089780403021,0.862019817468399
Buccal Cells,RA_Gemella,1 Month,0.96980589230529,0.922718827521213,0.987748074058707
Buccal Cells,RA_Gemella,12 Months,0.881127861055328,0.727408112498717,0.968417695216352
Buccal Cells,RA_Gemella,5 Years,0.89163613445097,0.701408019390691,0.967187845335907
Buccal Cells,RA_Actinomyces,1 Month,0.753853810278424,0.397977048050868,0.877045758002342
Buccal Cells,RA_Actinomyces,12 Months,0.921131595328458,0.837280136430594,0.963324536960536
Buccal Cells,RA_Actinomyces,5 Years,0.915081541068451,0.821480538304115,0.967210004269467
Buccal Cells,RA_Haemophilus,1 Month,0.929480860081842,0.799247201235165,0.981625144103684
Buccal Cells,RA_Haemophilus,12 Months,0.942936613279546,0.848179733392225,0.974893526954846
Buccal Cells,RA_Haemophilus,5 Years,0.931093990517746,0.865168317298817,0.975938905909818
Buccal Cells,RA_Granulicatella,1 Month,0.833097014806546,0.67520191004888,0.945116026978655
Buccal Cells,RA_Granulicatella,12 Months,0.577025270162763,0.107984954878708,0.789987522355222
Buccal Cells,RA_Granulicatella,5 Years,0.567388422690219,0.173404971814071,0.81610221778322
Buccal Cells,RA_clr_Neisseria,1 Month,0.963695731945582,0.890267408502604,0.988740256374581
Buccal Cells,RA_clr_Neisseria,12 Months,0.969196955603651,0.934048253725,0.988694196145247
Buccal Cells,RA_clr_Neisseria,5 Years,0.96748570006281,0.923614829630967,0.987466160417742
Buccal Cells,RA_clr_Megasphaera,1 Month,0.970347582959187,0.914322791878742,0.990058958913532
Buccal Cells,RA_clr_Megasphaera,12 Months,0.956535446301173,0.872541911528058,0.987749842046386
Buccal Cells,RA_clr_Megasphaera,5 Years,0.92002770928929,0.812273793685956,0.970580378700034
Buccal Cells,RA_clr_Prevotella,1 Month,0.831124607916914,0.597225178067224,0.917881973601694
Buccal Cells,RA_clr_Prevotella,12 Months,0.834019455130936,0.520050542680134,0.917304981979365
Buccal Cells,RA_clr_Prevotella,5 Years,0.698011175884294,0.415131015879344,0.835946055117884
Buccal Cells,RA_clr_Streptococcus,1 Month,0.904502521543522,0.791441267362706,0.962946319117784
Buccal Cells,RA_clr_Streptococcus,12 Months,0.907646034529497,0.733400986166565,0.9631687564258
Buccal Cells,RA_clr_Streptococcus,5 Years,0.883186088494192,0.74713965661739,0.955326479296352
Buccal Cells,RA_clr_Fusobacterium,1 Month,0.871130596812594,0.667151565724929,0.964912580157439
Buccal Cells,RA_clr_Fusobacterium,12 Months,0.86655572516727,0.694134153394892,0.941893627246475
Buccal Cells,RA_clr_Fusobacterium,5 Years,0.712190068205635,0.33332904590178,0.908405743975141
Buccal Cells,RA_clr_Leptotrichia,1 Month,0.887408674955477,0.657461329862288,0.952045412898316
Buccal Cells,RA_clr_Leptotrichia,12 Months,0.86642575454559,0.735949319388321,0.938242865114747
Buccal Cells,RA_clr_Leptotrichia,5 Years,0.825371949190753,0.676321363828743,0.922935404671157
Buccal Cells,RA_clr_Alloprevotella,1 Month,0.757580745514597,0.499574770171692,0.878853018144211
Buccal Cells,RA_clr_Alloprevotella,12 Months,0.6381183539189,0.187259352241932,0.829154578238239
Buccal Cells,RA_clr_Alloprevotella,5 Years,0.625914454254492,0.177831096883148,0.831240422112968
Buccal Cells,RA_clr_Porphyromonas,1 Month,0.88375326027667,0.785968681716982,0.961066298018938
Buccal Cells,RA_clr_Porphyromonas,12 Months,0.902203629711302,0.793414602481745,0.967402957842934
Buccal Cells,RA_clr_Porphyromonas,5 Years,0.863134200715719,0.627072534720111,0.936387546289795
Buccal Cells,RA_clr_Rothia,1 Month,0.907955716124965,0.775953443463995,0.963883914828983
Buccal Cells,RA_clr_Rothia,12 Months,0.898514088583589,0.719915907584158,0.956634741381718
