Sample_ID,Sample_Type,Subject_ID,Total_Reads,Specimen_Storage_Time,DNA_Storage_Time,Extraction_Method,Source_Material,Specimen_Storage_Temp,observed_features,shannon_entropy,pielou_evenness,faith_pd,bray_curtis_PC1,bray_curtis_PC2,jaccard_PC1,jaccard_PC2,unweighted_unifrac_PC1,unweighted_unifrac_PC2,generalized_unifrac_PC1,generalized_unifrac_PC2,weighted_unifrac_PC1,weighted_unifrac_PC2,RA_Neisseria,RA_Megasphaera,RA_Prevotella,RA_Streptococcus,RA_Fusobacterium,RA_Leptotrichia,RA_Alloprevotella,RA_Porphyromonas,RA_Rothia,RA_Veillonella,RA_Gemella,RA_Actinomyces,RA_Haemophilus,RA_Granulicatella,RA_clr_Neisseria,RA_clr_Megasphaera,RA_clr_Prevotella,RA_clr_Streptococcus,RA_clr_Fusobacterium,RA_clr_Leptotrichia,RA_clr_Alloprevotella,RA_clr_Porphyromonas,RA_clr_Rothia,RA_clr_Veillonella,RA_clr_Gemella,RA_clr_Actinomyces,RA_clr_Haemophilus,RA_clr_Granulicatella
SC241284-MB3,artificialcolony,DZ35316,70858,NA,Month2,KingFisher,Cell Suspension,-80C,31,3.80954205210683,0.768952583513863,5.49479743063606,-0.544905326712632,0.266492423186748,0.559233303536976,0.128008528072654,0.400063352128736,0.1008504704944,-0.120644304650026,-0.0118221080289676,-0.212518424760221,-0.0229815993642098,0.181489740043467,0,0.11545626464196,0.000409269242710774,0.0522453357419063,0.0919162268198369,0,0,0.0186288069095938,0.0464167772164046,0.0576081740946682,0,0.000282254650145361,0.0561545626464196,4.99882404446221,-0.207869908040083,4.54964588368277,0.135201394421919,3.76704030101178,4.32382839227739,-0.207869908040083,-0.207869908040083,2.76912831947065,3.6511062077487,3.86300426848521,-0.207869908040083,0.0407500657918485,3.83788931534679
SC241380-MB3,artificialcolony,DZ35316,83280,NA,Month2,KingFisher,Cell Suspension,-80C,29,3.80188320580613,0.782605615299713,4.8798717627613,-0.551185962126274,0.264722009026168,0.570707117947452,0.137127048425306,0.423319348884139,0.0911597692261524,-0.113940710598128,0.00194949018873769,-0.197480174674045,-0.00279557024246779,0.117267050912584,0,0.13350144092219,0.00026416906820365,0.0510086455331412,0.104538904899135,0,0,0.0125240153698367,0.0416066282420749,0.12195004803074,0,0,0.0192483189241114,4.57012691698901,-0.20281829375203,4.69875661840861,0.031596749518263,3.74859167126241,4.45626135800277,-0.20281829375203,-0.20281829375203,2.40164872757897,3.549191539957,4.60895986556272,-0.20281829375203,-0.20281829375203,2.80525348026123
SC253789-MB3,artificialcolony,DZ35316,67534,NA,Month2,KingFisher,Cell Suspension,-80C,37,3.93884867292782,0.756096349554763,6.26724704514647,-0.523648691156157,0.274213710138592,0.466867678884727,0.123593093523486,0.2823278647535,0.10833354833523,-0.111612083005739,-0.00151508522833844,-0.194428030874548,0.0101221287771401,0.144119998815411,0,0.110063079337815,0.000710753102141144,0.0279414813279237,0.0580004146059762,0.00031095448218675,0,0.0403500459028045,0.0552610536914739,0.0807445138744928,0,0.00115497379097936,0.153152486155122,4.76830555023408,-0.209255427969923,4.50084289425382,0.327678256201214,3.15602047809911,3.86828904313104,0.0615000562903161,-0.209255427969923,3.51281810360326,3.82074710387968,4.19434327098666,-0.209255427969923,0.558523133553297,4.82868685438736
SC241284-MB4,artificialcolony,DZ35316,35045,NA,Month18,KingFisher,Cell Suspension,-80C,27,3.92343652192487,0.825137612643772,4.86285606140503,-0.534378019584262,0.272453246432623,0.580343423425243,0.150924740824804,0.42967410472009,0.0796159295093196,-0.0990600138795371,-0.0166903017640639,-0.176919855418607,-0.0208814386252566,0.146640034241689,0,0.113596804109003,0.108802967613069,0.0389213867884149,0.0708517620202597,0,0,0.0249393636752746,0.0463118847196462,0.048195177628763,0,0,0.0683977742901983,4.77889097319235,-0.215886136896327,4.52553377963945,4.4828014192553,3.47102605313229,4.05871899892244,-0.215886136896327,-0.215886136896327,3.03987551105403,3.64087538961221,3.67990946612254,-0.215886136896327,-0.215886136896327,4.02396865935573
SC241380-MB4,artificialcolony,DZ35316,31477,NA,Month18,KingFisher,Cell Suspension,-80C,31,3.72233656574935,0.751350235747656,5.37711696202782,-0.549887737710474,0.26383104969957,0.54664733959445,0.114383337250044,0.389511108929773,0.115605855881588,-0.102574616619147,0.00339469444247667,-0.178653214710844,-0.00296310904016303,0.116878991009308,0,0.162150141373066,0,0.0568033802458938,0.101312069129841,0,0,0.0121040759919942,0.0313244591288878,0.107030530228421,0,0.000571846109857992,0.0118499221653906,4.56875790450995,-0.200900693849791,4.89377019571117,-0.200900693849791,3.85614656188142,4.42712694995776,-0.200900693849791,-0.200900693849791,2.37202263238896,3.27492349838316,4.4815131806261,-0.200900693849791,0.251350100872873,2.35243706030505
SC253789-MB4,artificialcolony,DZ35316,41681,NA,Month18,KingFisher,Cell Suspension,-80C,29,3.88694825892997,0.800115987038335,5.24006856820822,-0.521271314696923,0.28353247274233,0.562986595934492,0.119950250110956,0.398521509811049,0.116419477905288,-0.107886809332515,-0.00318961779291715,-0.189973301381867,0.00996067087567527,0.131642714906072,0,0.121062354550035,0.000599793670977184,0.0249754084594899,0.0720472157577793,0,0,0.0549890837551882,0.0441208224370816,0.0700559007701351,0,0.000167942227873611,0.156858040833953,4.67508025986034,-0.212578899547516,4.59195311748629,0.257295765743466,3.04457136241481,4.07852712372405,-0.212578899547516,-0.212578899547516,3.81257783924267,3.59676493524836,4.05088800249899,-0.212578899547516,-0.0573354788017646,4.84911725387372
SC284798-MB4,artificialcolony,DZ35316,25330,NA,Month15,KingFisher,Cell Suspension,-80C,25,3.69381563247574,0.795419901376172,4.73330564599224,-0.548958729970668,0.26002466097853,0.576136587651736,0.142804282085027,0.418948609326875,0.102044918474638,-0.134504276134203,0.0297447741864164,-0.226234936176423,0.0508975458037399,0.114646664034741,0,0.0542045005921832,0,0.0931306750888275,0.0744176865377023,0,0,0.00754046585076984,0.0241215949467035,0.147887879984208,0,0.00019739439399921,0.134701934465061,4.55951388700788,-0.191025655898946,3.8200188265276,-0.191025655898946,4.35365832151195,4.1320161610734,-0.191025655898946,-0.191025655898946,1.95378989968425,3.0327021767867,4.81216788346137,-0.191025655898946,-0.0108777982120403,4.71943516629393
SC333095-MB4,artificialcolony,DZ35316,24581,NA,Month11,KingFisher,Cell Suspension,-80C,28,3.84421196533149,0.799652205351655,4.79206449652323,-0.545695153257696,0.265336277509315,0.577743441123811,0.151179325027172,0.427563455064067,0.0844464083326978,-0.121012255124518,0.00634415164201709,-0.208819002691109,0.0118824655358654,0.183515723526301,0,0.0726577437858509,0.0380375086448883,0.0881575200358,0.0977991131361621,0,0,0.0350677352426671,0.0421056913876571,0.116716162890037,0,0,0.098856840649282,5.01075512528094,-0.206979556933196,4.09244972350126,3.45754338712685,4.28342513643541,4.3861090714257,-0.206979556933196,-0.206979556933196,3.37841914817256,3.55667548221628,4.56129677067519,-0.206979556933196,-0.206979556933196,4.39675800983868
SC422893-MB4,artificialcolony,DZ35316,28545,NA,Month6,KingFisher,Cell Suspension,-80C,25,3.8757652125058,0.834600610811295,4.69288573573336,-0.552894154685697,0.263045554245054,0.567071201448809,0.138400581372911,0.419063627544042,0.10071676545172,-0.118043970267245,0.0115788006518286,-0.202670177728195,0.0128840019516217,0.129164477141356,0,0.0993519005079699,0.031739358906989,0.0851287440882817,0.105412506568576,0,0,0.0104396566824312,0.0433350849535821,0.106883867577509,0,0,0.0395165528113505,4.66562675167725,-0.203172107855821,4.40551090600111,3.2854058825573,4.25267109325624,4.46415100508184,-0.203172107855821,-0.203172107855821,2.23391386736852,3.58860424114849,4.4778832405101,-0.203172107855821,-0.203172107855821,3.49853849414829
SC490213-MB4,artificialcolony,DZ35316,29017,NA,Month6,KingFisher,Cell Suspension,-80C,25,3.890463667386,0.837765750789696,4.55930749313327,-0.55545833834105,0.264684725096352,0.579871571305205,0.15000263415244,0.429192698720411,0.0914549362643979,-0.125537094487908,0.00882031500815252,-0.213861320865285,0.0125273766724057,0.1792397560051,0,0.0788847916738464,0.0132680842264879,0.0717855050487645,0.0646172933108178,0,0,0.0107523176069201,0.050728883068546,0.106902850053417,0,0,0.112727022090499,4.98565112365664,-0.208636818744175,4.17194867390629,2.44938835190914,4.07888001016113,3.97520246000782,-0.208636818744175,-0.208636818744175,2.25541364553826,3.73737947347708,4.47259446701182,-0.208636818744175,-0.208636818744175,4.5251642150814
